FROM,ACCEPT,STACK,ERROR,RETURN,NEXT,FOLLOW_SYMBOLS
91,False,False,True,False,28,"['FUNCTION_NAME', 'NUMERIC', 'BOOL', 'if', 'foreach', 'equal', 'resolve', 'SUM', 'DELTA', 'BEQUAL', 'LARGER', 'BIGGER', 'OR', 'AND', 'NOT', 'REMUT', 'MUT', 'eps', 'RPAR', 'SEPARATOR']"
92,False,False,True,True,,"['SEPARATOR', 'RPAR']"
93,True,False,True,True,,['RPAR']
94,False,True,True,False,2,"['FUNCTION_NAME', 'NUMERIC', 'BOOL', 'if', 'foreach', 'equal', 'resolve', 'SUM', 'DELTA', 'BEQUAL', 'LARGER', 'BIGGER', 'OR', 'AND', 'NOT', 'REMUT', 'MUT']"
95,False,False,True,False,30,"['eps', 'SEPARATOR', 'RPAR']"
96,True,False,True,True,,['RPAR']
97,True,False,True,False,98,['SEPARATOR']
98,False,True,True,False,2,"['FUNCTION_NAME', 'NUMERIC', 'BOOL', 'if', 'foreach', 'equal', 'resolve', 'SUM', 'DELTA', 'BEQUAL', 'LARGER', 'BIGGER', 'OR', 'AND', 'NOT', 'REMUT', 'MUT']"
99,False,False,True,False,30,"['eps', 'SEPARATOR', 'RPAR']"
100,True,False,True,True,,['NUMERIC']
101,True,False,True,True,,['BOOL']
